Player,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,,Hit_Score,Walk_Score,Bats_Score,Bases_Score
"Rosario, Eguy",47.8,59.3,71.9,34.7,34.1,44.2,26.3,46.5,41.9,10.2,65.2,34,38.2,29.4,23.5,8.8,38.2,41.2,20.6,5.9,35.3,17.6,20.6,5.9,41.2,226,34,5,14.7,47.1,89.2,12.9,0.196,0.392,0.274,0.402,,1.369,-0.234,-0.234,4.984
"Bogaerts, Xander",54.0,59.8,88.6,25.8,62.7,42.0,21.4,44.2,18.3,8.8,70.1,355,47.6,23.9,22.8,5.6,41.7,40.8,17.5,2.8,36.1,24.8,27.6,3.4,32.1,1791,355,18,5.1,33.2,88.1,10.9,0.262,0.382,0.305,0.342,,-0.574,-0.222,-0.222,-1.237
"McCoy, Mason",50.0,56.9,83.3,33.6,43.6,35.8,29.8,45.3,29.5,9.5,72.7,33,60.6,15.2,24.2,0.0,27.3,39.4,33.3,18.2,33.3,18.2,27.3,0.0,33.3,232,33,0,0.0,15.2,82.9,9.3,0.202,0.241,0.242,0.323,,-3.729,-0.234,-0.234,-5.432
"Tatis Jr., Fernando",49.9,74.4,80.2,28.2,49.3,45.6,43.8,51.3,28.1,8.2,86.6,303,46.2,26.1,24.1,3.6,38.9,35.6,25.4,3.6,31.4,18.5,24.8,6.9,33.7,1551,303,44,14.5,55.8,93.5,10.0,0.298,0.538,0.387,0.47,,4.325,-0.224,-0.224,6.371
"Wade, Tyler",50.3,62.4,86.4,25.7,54.7,41.2,30.8,44.1,20.8,7.3,83.7,113,46.0,18.6,26.5,8.8,43.4,32.7,23.9,15.9,29.2,25.7,24.8,2.7,38.1,587,113,2,1.8,17.7,83.7,14.5,0.244,0.31,0.281,0.306,,-3.766,-0.231,-0.231,-5.147
"Solano, Donovan",51.5,63.8,86.4,29.6,54.1,40.8,17.8,47.2,23.5,8.4,69.2,219,43.4,25.6,26.0,5.0,30.6,44.3,25.1,4.1,31.1,21.9,31.5,7.3,37.0,1273,219,8,3.7,37.4,87.3,13.7,0.257,0.378,0.307,0.354,,0.424,-0.227,-0.227,-0.507
"Sullivan, Brett",46.9,78.3,83.3,53.8,71.4,38.8,41.2,65.3,18.8,4.1,100.0,12,25.0,33.3,0.0,41.7,25.0,8.3,66.7,25.0,0.0,58.3,8.3,0.0,16.7,49,12,1,8.3,25.0,81.8,37.7,0.117,0.206,0.174,0.189,,-5.301,-0.235,-0.235,-2.99
"Arraez, Luis",52.2,63.0,95.0,35.3,88.0,44.2,20.0,49.8,6.9,7.5,72.0,611,42.2,25.2,27.7,4.9,31.6,37.6,30.8,3.9,31.3,26.8,32.6,3.8,40.9,2416,611,10,1.6,23.7,86.3,13.7,0.31,0.4,0.325,0.323,,-0.958,-0.212,-0.214,-3.235
"Peralta, David",48.0,70.6,83.1,32.6,49.4,46.7,35.4,50.9,28.1,6.6,73.1,182,47.3,18.1,29.1,5.5,38.5,38.5,23.1,4.4,39.0,18.7,27.5,4.9,36.8,1014,182,10,5.5,42.3,88.1,8.9,0.259,0.376,0.313,0.356,,1.449,-0.229,-0.228,0.482
"Johnson, Bryce",48.7,73.4,89.4,27.4,59.5,40.7,50.7,49.8,18.3,8.0,81.0,54,55.6,14.8,27.8,1.9,40.7,37.0,22.2,20.4,29.6,25.9,24.1,0.0,37.0,263,54,0,0.0,24.1,86.1,7.4,0.258,0.307,0.291,0.305,,-1.642,-0.233,-0.233,-4.725
"Profar, Jurickson",50.7,68.6,87.4,21.9,66.6,42.2,32.3,45.6,17.0,7.4,81.7,473,43.1,25.6,23.5,7.8,39.3,35.9,24.7,3.8,29.8,25.2,29.2,4.9,31.3,2739,473,34,7.2,44.4,91.1,13.4,0.282,0.444,0.364,0.379,,1.181,-0.217,-0.217,1.043
"Kim, Ha-Seong",53.0,55.2,86.4,18.6,74.6,44.9,22.4,38.0,16.1,8.1,70.8,333,41.1,24.3,24.0,10.5,42.3,34.8,22.8,7.2,29.1,29.7,23.7,4.8,36.6,1982,333,16,4.8,35.4,87.9,15.1,0.245,0.352,0.313,0.323,,-2.06,-0.223,-0.222,-2.305
