Player,AB,H,2B,3B,HR,BB,,TB,Runs
"Springer, George",545,120,19,3,19,60,,202,60.0
"Guerrero Jr., Vladimir",616,199,44,1,30,72,,335,132.0
"Schneider, Davis",397,76,19,1,13,47,,136,38.0
"Clement, Ernie",434,114,21,3,12,11,,177,50.0
"Varsho, Daulton",459,98,21,7,18,48,,187,54.0
"Loperfido, Joey",243,52,13,4,4,13,,85,22.0
"Jiménez, Leo",179,41,11,0,4,12,,64,18.0
"Heineman, Tyler",12,1,0,0,0,3,,1,0.0
"Barger, Addison",208,41,11,0,7,14,,73,18.0
"Larnach, Trevor",355,92,17,0,15,40,,154,51.0
"Helman, Michael",10,3,2,0,0,0,,5,2.0
"Keirsey Jr., DaShawn",13,2,0,0,1,0,,5,1.0
"Correa, Carlos",319,99,20,2,14,40,,165,64.0
"Jeffers, Ryan",412,93,22,0,21,32,,178,50.0
"Castro, Willi",558,138,31,5,12,51,,215,67.0
"Kepler, Max",368,93,21,1,8,22,,140,41.0
"Lewis, Royce",292,68,16,0,16,28,,132,40.0
"Camargo, Jair",6,0,0,0,0,1,,0,0.0
"Santana, Carlos",521,124,26,0,23,65,,219,71.0
"Margot, Manuel",315,75,17,1,4,21,,106,30.0
"Vázquez, Christian",294,65,10,0,7,11,,96,24.0
"Martin, Austin",233,59,18,1,1,20,,82,26.0
"Farmer, Kyle",215,46,13,1,5,19,,76,21.0
"Buxton, Byron",355,99,27,3,18,20,,186,59.0
"Lee, Brooks",172,38,6,1,3,11,,55,15.0
"Kirilloff, Alex",159,32,8,3,5,15,,61,16.0
"Wallner, Matt",220,57,17,1,13,24,,115,38.0
"Julien, Edouard",266,53,9,0,8,33,,86,25.0
"Miranda, Jose",401,114,28,4,9,18,,177,56.0
"Wilson, Weston",88,25,7,1,3,8,,43,15.0
"Hays, Austin",235,60,18,0,5,9,,93,26.0
"Clemens, Kody",114,25,9,1,5,5,,51,13.0
"Castellanos, Nick",606,154,30,4,23,41,,261,79.0
"Stevenson, Cal",24,6,3,0,0,3,,9,3.0
"Bohm, Alec",554,155,44,2,15,40,,248,81.0
"Marsh, Brandon",418,104,17,3,16,50,,175,58.0
"Marchán, Rafael",51,15,4,0,3,3,,28,9.0
"Realmuto, J.T.",380,101,18,1,14,27,,163,51.0
"Schwarber, Kyle",573,142,22,0,38,106,,278,102.0
"Rojas, Johan",338,82,12,3,3,13,,109,30.0
"Sosa, Edmundo",249,64,12,4,7,13,,105,31.0
"Stott, Bryson",506,124,19,2,11,53,,180,57.0
"Kennedy, Buddy",21,4,1,0,1,4,,8,3.0
"Turner, Trea",505,149,25,0,21,27,,237,78.0
"Stubbs, Garrett",164,34,4,1,1,17,,43,12.0
"Harper, Bryce",550,157,42,0,30,76,,289,108.0
"Acuña Jr., Ronald",192,48,8,1,4,27,,70,24.0
"Murphy, Sean",233,45,5,1,10,27,,82,23.0
"Tromp, Chadwick",52,13,6,0,0,1,,19,5.0
"Biggio, Cavan",188,37,5,0,5,24,,57,16.0
"Arcia, Orlando",551,120,24,0,17,41,,195,53.0
"Duvall, Adam",303,55,10,0,11,21,,98,23.0
"Ozuna, Marcell",606,183,31,0,39,74,,331,125.0
"Williams, Luke",46,9,3,0,0,4,,12,3.0
"Olson, Matt",600,148,37,1,29,71,,274,89.0
"Alvarez Jr., Nacho",30,3,0,0,0,0,,3,0.0
"Albies, Ozzie",399,100,29,1,10,27,,161,48.0
"Kelenic, Jarred",412,95,18,2,15,32,,162,46.0
"Merrifield, Whit",293,65,9,3,4,35,,92,28.0
"d'Arnaud, Travis",307,73,16,0,15,24,,134,39.0
"Harris II, Michael",440,116,14,3,16,23,,184,55.0
"White, Eli",39,11,1,1,1,1,,17,5.0
"Urshela, Gio",432,108,19,1,9,23,,156,45.0
