Player,AB,H,2B,3B,HR,BB,,TB,Runs
Brandon Nimmo,571,128,25,3,23,77,,228,72.0
Starling Marte,335,90,13,3,7,27,,130,42.0
J.D. Martinez,434,102,24,1,16,49,,176,55.0
Jose Iglesias,270,91,16,1,4,12,,121,44.0
Brett Baty,153,35,3,0,4,16,,50,15.0
Shea Langeliers,482,108,18,2,29,41,,217,62.0
Esteury Ruiz,55,11,2,1,2,4,,21,5.0
Tyler Nevin,245,50,10,0,7,25,,81,22.0
Nick Allen,97,17,4,0,1,5,,24,5.0
Zack Gelof,497,105,20,2,17,38,,180,48.0
Max Schuemann,396,87,14,0,7,47,,122,37.0
Miguel Andujar,302,86,14,1,4,13,,114,36.0
Kyle McCann,140,33,4,0,5,16,,52,16.0
Brent Rooker,546,160,26,2,39,59,,307,111.0
Brett Harris,103,15,3,0,3,17,,27,7.0
Tyler Soderstrom,189,44,10,0,9,20,,81,25.0
CJ Alexander,8,1,0,0,0,0,,1,0.0
Ryan Noda,95,13,4,0,1,14,,20,5.0
Armando Alvarez,37,9,1,0,0,2,,10,3.0
Tristan Gray,28,3,1,0,0,3,,4,1.0
Darell Hernaiz,120,23,3,0,1,11,,29,8.0
Seth Brown,372,86,11,1,14,25,,141,39.0
Daz Cameron,170,34,5,1,5,13,,56,14.0
Lawrence Butler,412,108,24,2,22,35,,202,65.0
Jacob Wilson,92,23,2,2,0,8,,29,9.0
JJ Bleday,572,139,43,4,20,67,,250,81.0
Nick Gonzales,359,97,19,3,7,18,,143,44.0
Alika Williams,87,18,4,2,0,3,,26,6.0
Yasmani Grandal,215,49,10,0,9,24,,86,26.0
Oneil Cruz,541,140,34,3,21,51,,243,78.0
Jack Suwinski,247,45,8,0,9,27,,80,21.0
Bryan De La Cruz,584,136,25,0,21,29,,224,60.0
Nick Yorke,37,8,0,0,2,4,,14,4.0
Jason Delay,15,3,3,0,0,3,,6,2.0
Jared Triolo,394,85,10,1,9,42,,124,36.0
Joshua Palacios,67,15,2,0,2,10,,23,7.0
Billy Cook,49,11,2,0,3,0,,22,5.0
Ji Hwan Bae,74,14,2,0,0,6,,16,4.0
Isiah Kiner-Falefa,465,125,18,4,8,16,,175,51.0
Ke'Bryan Hayes,365,85,9,0,4,23,,106,30.0
Bryan Reynolds,622,171,29,3,24,57,,278,93.0
Joey Bart,253,67,11,0,13,22,,117,38.0
Connor Joe,364,83,22,1,9,44,,134,42.0
Andrew McCutchen,448,104,18,1,20,58,,184,59.0
Liover Peguero,10,2,1,0,0,0,,3,1.0
Henry Davis,104,15,4,0,1,13,,22,5.0
Manny Machado,593,163,30,0,29,45,,280,91.0
Jake Cronenworth,577,139,29,3,17,61,,225,71.0
Kyle Higashioka,246,54,10,1,17,15,,117,31.0
Brandon Lockridge,12,2,0,0,1,0,,5,1.0
Jackson Merrill,554,162,31,6,24,29,,277,91.0
Elias Díaz,325,86,20,0,6,20,,124,38.0
Eguy Rosario,53,13,6,0,3,2,,28,8.0
Xander Bogaerts,428,113,15,1,11,28,,163,50.0
Mason McCoy,49,10,2,0,0,5,,12,3.0
Fernando Tatis Jr.,398,110,21,1,21,32,,196,65.0
Tyler Wade,138,30,3,0,0,11,,33,9.0
Donovan Solano,283,81,13,0,8,22,,118,40.0
Brett Sullivan,16,3,0,0,1,1,,6,1.0
Luis Arraez,637,200,32,3,4,24,,250,85.0
David Peralta,236,63,11,0,8,22,,98,32.0
Bryce Johnson,63,13,2,0,0,7,,15,4.0
Jurickson Profar,564,158,29,0,24,76,,259,95.0
Ha-Seong Kim,403,94,16,3,11,58,,149,49.0
Luis Campusano,277,63,13,0,8,20,,100,28.0
Nick Ahmed,210,48,6,1,2,11,,62,17.0
Tyler Locklear,45,7,1,0,2,3,,14,3.0
Luke Raley,404,98,19,2,22,27,,187,54.0
Luis Urías,94,18,7,0,4,9,,37,10.0
Josh Rojas,422,95,19,2,8,46,,142,43.0
Justin Turner,460,119,24,0,11,59,,176,60.0
Sam Haggerty,15,1,0,0,0,1,,1,0.0
Leo Rivas,73,17,1,1,0,10,,20,7.0
Ryan Bliss,63,14,3,1,2,5,,25,7.0
J.P. Crawford,392,79,16,2,9,52,,126,37.0
Dylan Moore,368,74,23,4,10,53,,135,41.0
Jorge Polanco,416,89,11,0,16,46,,148,43.0
Randy Arozarena,549,120,33,0,20,73,,213,66.0
Julio Rodríguez,567,155,17,0,20,38,,232,74.0
Cade Marlowe,8,2,0,0,0,1,,2,1.0
Mitch Haniger,380,79,12,0,12,40,,127,36.0
Cal Raleigh,546,120,16,0,34,70,,238,73.0
Mitch Garver,367,63,17,0,15,53,,125,35.0
Samad Taylor,5,2,0,0,0,0,,2,1.0
Victor Robles,254,78,20,0,4,21,,110,40.0
Dominic Canzone,168,33,7,0,8,18,,64,18.0
Tom Murphy,34,4,1,0,1,4,,8,2.0
Curt Casali,108,21,3,0,1,13,,27,8.0
Casey Schmitt,107,27,4,1,6,4,,51,14.0
Jung Hoo Lee,145,38,4,0,2,10,,48,15.0
Matt Chapman,575,142,39,2,27,64,,266,86.0
Mark Canha,393,95,20,0,7,51,,136,45.0
Donovan Walton,22,3,0,0,1,2,,6,1.0
Heliot Ramos,475,128,23,3,22,37,,223,72.0
Mike Yastrzemski,428,99,16,9,18,38,,187,55.0
Marco Luciano,76,16,5,1,0,5,,23,6.0
Tyler Fitzgerald,314,88,19,2,15,22,,156,51.0
Luis Matos,150,32,5,0,5,5,,52,12.0
LaMonte Wade Jr.,331,86,16,0,8,62,,126,47.0
Brett Wisely,252,60,13,1,4,13,,87,24.0
Patrick Bailey,401,94,16,1,8,39,,136,41.0
Michael Conforto,438,104,27,3,20,42,,197,60.0
Blake Sabol,32,10,2,0,0,5,,12,5.0
David Villar,35,9,4,0,1,1,,16,4.0
Wilmer Flores,214,44,12,0,4,20,,68,19.0
Grant McCray,124,25,3,2,5,6,,47,11.0
Jerar Encarnacion,113,28,5,0,5,5,,48,13.0
Luken Baker,40,7,1,1,2,7,,16,5.0
Masyn Winn,587,157,32,5,15,41,,244,77.0
Nolan Arenado,578,157,23,0,16,44,,228,74.0
Brendan Donovan,587,163,34,3,14,47,,245,81.0
José Fermín,71,11,1,1,0,7,,14,3.0
Victor Scott II,145,26,9,0,2,6,,41,9.0
Alec Burleson,547,147,20,0,21,35,,230,72.0
Jordan Walker,164,33,10,1,5,10,,60,15.0
Paul Goldschmidt,599,147,33,1,22,47,,248,74.0
Michael Siani,298,68,7,2,2,21,,85,24.0
Matt Carpenter,137,32,7,0,4,15,,51,16.0
Nolan Gorman,365,74,15,0,19,34,,146,40.0
Willson Contreras,301,79,17,0,15,45,,141,51.0
Thomas Saggese,49,10,2,0,1,2,,15,4.0
Lars Nootbaar,348,85,18,3,12,52,,145,50.0
Iván Herrera,229,69,12,1,5,25,,98,36.0
Pedro Pagés,202,48,3,2,7,13,,76,22.0
Brandon Lowe,385,94,19,3,21,33,,182,55.0
Logan Driscoll,35,6,0,0,1,1,,9,2.0
Ben Rortvedt,290,66,13,0,3,34,,88,27.0
