Player,AB,H,2B,3B,HR,BB,,TB,Runs,TeamID
"Witt Jr., Bobby",636,211,45,11,32,57,,374,145.0,118
"Frazier, Adam",262,53,10,1,4,22,,77,20.0,118
"Velázquez, Nelson",205,41,8,1,8,19,,75,20.0,118
"Garcia, Maikel",575,133,27,5,7,42,,191,54.0,118
"Gurriel, Yuli",54,13,3,0,0,9,,16,6.0,118
"Perez, Salvador",590,160,28,0,27,44,,269,87.0,118
"Hampson, Garrett",213,49,13,1,0,14,,64,18.0,118
"Waters, Drew",16,3,1,0,0,2,,4,1.0,118
"Grossman, Robbie",208,44,8,0,3,34,,61,20.0,118
"Melendez, MJ",412,85,23,3,17,35,,165,44.0,118
"Renfroe, Hunter",385,88,18,0,15,36,,151,44.0,118
"Kiermaier, Kevin",259,51,9,3,5,12,,81,19.0,119
"Edman, Tommy",139,33,5,1,6,11,,58,17.0,119
"Smith, Will",476,118,24,2,20,51,,206,66.0,119
"Rojas, Miguel",307,87,21,0,6,23,,126,42.0,119
"Taylor, Chris",213,43,7,1,4,28,,64,19.0,119
"Betts, Mookie",450,130,24,5,19,61,,221,83.0,119
"Outman, James",136,20,4,0,4,16,,36,9.0,119
"Barnes, Austin",140,37,3,0,1,14,,43,14.0,119
"Hernández, Enrique",362,83,16,0,12,27,,135,38.0,119
"Hernández, Teoscar",589,160,32,2,33,53,,295,98.0,119
"Ohtani, Shohei",636,197,38,7,54,81,,411,159.0,119
"Pages, Andy",403,100,23,1,13,29,,164,49.0,119
"Feduccia, Hunter",12,4,0,0,0,2,,4,2.0,119
"Lux, Gavin",439,110,24,2,10,44,,168,54.0,119
"Freeman, Freddie",542,153,35,2,22,78,,258,96.0,119
"Muncy, Max",237,55,17,0,15,45,,117,41.0,119
"Garrett, Stone",5,3,1,0,1,1,,7,5.0,120
"Yepez, Juan",226,64,15,0,6,18,,97,33.0,120
"Lipscomb, Trey",190,38,3,0,1,16,,44,12.0,120
"Nuñez, Nasim",61,15,1,0,0,12,,16,6.0,120
"Ruiz, Keibert",459,105,21,0,13,16,,165,42.0,120
"Crews, Dylan",119,26,5,1,3,11,,42,12.0,120
"Gallo, Joey",223,36,9,0,10,32,,75,20.0,120
"Abrams, CJ",541,133,29,6,20,40,,234,70.0,120
"García Jr., Luis",500,141,25,1,18,27,,222,71.0,120
"Vargas, Ildemaro",272,67,16,0,1,19,,86,25.0,120
"Call, Alex",99,34,9,0,3,12,,52,22.0,120
"Wood, James",295,78,13,4,9,39,,126,44.0,120
"Young, Jacob",468,120,24,1,3,30,,155,47.0,120
"Adams, Riley",116,26,5,1,2,10,,39,11.0,120
"Tena, José",161,43,5,0,3,7,,57,17.0,120
"Baker, Darren",14,7,2,0,0,0,,9,4.0,120
"Chaparro, Andrés",121,26,12,0,4,7,,50,13.0,120
"Meneses, Joey",281,65,11,0,3,21,,85,24.0,120
"Millas, Drew",57,14,1,0,1,5,,18,6.0,120
"Marte, Starling",335,90,13,3,7,27,,130,42.0,121
"Vientos, Mark",413,110,22,0,27,33,,213,68.0,121
"Baty, Brett",153,35,3,0,4,16,,50,15.0,121
"Alvarez, Francisco",308,73,14,2,11,30,,124,38.0,121
"Lindor, Francisco",618,169,39,1,33,56,,309,103.0,121
"Martinez, J.D.",434,102,24,1,16,49,,176,55.0,121
"Azocar, José",73,16,2,0,0,5,,18,5.0,121
"Winker, Jesse",430,109,23,0,14,63,,174,61.0,121
"Torrens, Luis",118,27,8,0,3,9,,44,12.0,121
"Acuña, Luisangel",39,12,2,1,3,1,,25,8.0,121
"Iglesias, Jose",270,91,16,1,4,12,,121,44.0,121
"Taylor, Tyrone",319,79,22,3,7,19,,128,37.0,121
"McNeil, Jeff",424,101,26,0,12,35,,163,48.0,121
"Nimmo, Brandon",571,128,25,3,23,77,,228,72.0,121
"Bader, Harrison",402,95,19,0,12,21,,150,41.0,121
"Alonso, Pete",608,146,31,0,34,70,,279,89.0,121
"Stewart, DJ",158,28,4,0,5,31,,47,15.0,121
"Bleday, JJ",572,139,43,4,20,67,,250,81.0,133
"Nevin, Tyler",245,50,10,0,7,25,,81,22.0,133
"Noda, Ryan",95,13,4,0,1,14,,20,5.0,133
"Alvarez, Armando",37,9,1,0,0,2,,10,3.0,133
"Allen, Nick",97,17,4,0,1,5,,24,5.0,133
"Brown, Seth",372,86,11,1,14,25,,141,39.0,133
"Soderstrom, Tyler",189,44,10,0,9,20,,81,25.0,133
"Gelof, Zack",497,105,20,2,17,38,,180,48.0,133
"Andujar, Miguel",302,86,14,1,4,13,,114,36.0,133
"McCann, Kyle",140,33,4,0,5,16,,52,16.0,133
"Ruiz, Esteury",55,11,2,1,2,4,,21,5.0,133
"Langeliers, Shea",482,108,18,2,29,41,,217,62.0,133
"Cameron, Daz",170,34,5,1,5,13,,56,14.0,133
"Gray, Tristan",28,3,1,0,0,3,,4,1.0,133
"Butler, Lawrence",412,108,24,2,22,35,,202,65.0,133
"Rooker, Brent",546,160,26,2,39,59,,307,111.0,133
"Wilson, Jacob",92,23,2,2,0,8,,29,9.0,133
"Hernaiz, Darell",120,23,3,0,1,11,,29,8.0,133
"Harris, Brett",103,15,3,0,3,17,,27,7.0,133
"Alexander, CJ",8,1,0,0,0,0,,1,0.0,133
"Schuemann, Max",396,87,14,0,7,47,,122,37.0,133
"Palacios, Joshua",67,15,2,0,2,10,,23,7.0,134
"Hayes, Ke'Bryan",365,85,9,0,4,23,,106,30.0,134
"Williams, Alika",87,18,4,2,0,3,,26,6.0,134
"Cook, Billy",49,11,2,0,3,0,,22,5.0,134
"Kiner-Falefa, Isiah",465,125,18,4,8,16,,175,51.0,134
"Bae, Ji Hwan",74,14,2,0,0,6,,16,4.0,134
"Grandal, Yasmani",215,49,10,0,9,24,,86,26.0,134
"Cruz, Oneil",541,140,34,3,21,51,,243,78.0,134
"Suwinski, Jack",247,45,8,0,9,27,,80,21.0,134
"Bart, Joey",253,67,11,0,13,22,,117,38.0,134
"Peguero, Liover",10,2,1,0,0,0,,3,1.0,134
"Joe, Connor",364,83,22,1,9,44,,134,42.0,134
"Gonzales, Nick",359,97,19,3,7,18,,143,44.0,134
"Davis, Henry",104,15,4,0,1,13,,22,5.0,134
"Yorke, Nick",37,8,0,0,2,4,,14,4.0,134
"Reynolds, Bryan",622,171,29,3,24,57,,278,93.0,134
"McCutchen, Andrew",448,104,18,1,20,58,,184,59.0,134
"Triolo, Jared",394,85,10,1,9,42,,124,36.0,134
"De La Cruz, Bryan",584,136,25,0,21,29,,224,60.0,134
"Delay, Jason",15,3,3,0,0,3,,6,2.0,134
"Solano, Donovan",283,81,13,0,8,22,,118,40.0,135
"Higashioka, Kyle",246,54,10,1,17,15,,117,31.0,135
"Arraez, Luis",637,200,32,3,4,24,,250,85.0,135
"Bogaerts, Xander",428,113,15,1,11,28,,163,50.0,135
"Peralta, David",236,63,11,0,8,22,,98,32.0,135
"Machado, Manny",593,163,30,0,29,45,,280,91.0,135
"Campusano, Luis",277,63,13,0,8,20,,100,28.0,135
"Ahmed, Nick",210,48,6,1,2,11,,62,17.0,135
"Tatis Jr., Fernando",398,110,21,1,21,32,,196,65.0,135
"Cronenworth, Jake",577,139,29,3,17,61,,225,71.0,135
"Wade, Tyler",138,30,3,0,0,11,,33,9.0,135
"Johnson, Bryce",63,13,2,0,0,7,,15,4.0,135
"Lockridge, Brandon",12,2,0,0,1,0,,5,1.0,135
"Profar, Jurickson",564,158,29,0,24,76,,259,95.0,135
"Díaz, Elias",325,86,20,0,6,20,,124,38.0,135
"Merrill, Jackson",554,162,31,6,24,29,,277,91.0,135
"Rosario, Eguy",53,13,6,0,3,2,,28,8.0,135
"McCoy, Mason",49,10,2,0,0,5,,12,3.0,135
"Kim, Ha-Seong",403,94,16,3,11,58,,149,49.0,135
"Sullivan, Brett",16,3,0,0,1,1,,6,1.0,135
"Locklear, Tyler",45,7,1,0,2,3,,14,3.0,136
"Robles, Victor",254,78,20,0,4,21,,110,40.0,136
"Rivas, Leo",73,17,1,1,0,10,,20,7.0,136
"Arozarena, Randy",549,120,33,0,20,73,,213,66.0,136
"Crawford, J.P.",392,79,16,2,9,52,,126,37.0,136
"Marlowe, Cade",8,2,0,0,0,1,,2,1.0,136
"Canzone, Dominic",168,33,7,0,8,18,,64,18.0,136
"Turner, Justin",460,119,24,0,11,59,,176,60.0,136
"Raleigh, Cal",546,120,16,0,34,70,,238,73.0,136
"Haniger, Mitch",380,79,12,0,12,40,,127,36.0,136
"Bliss, Ryan",63,14,3,1,2,5,,25,7.0,136
"Rodríguez, Julio",567,155,17,0,20,38,,232,74.0,136
"Garver, Mitch",367,63,17,0,15,53,,125,35.0,136
"Moore, Dylan",368,74,23,4,10,53,,135,41.0,136
"Polanco, Jorge",416,89,11,0,16,46,,148,43.0,136
"Rojas, Josh",422,95,19,2,8,46,,142,43.0,136
"Urías, Luis",94,18,7,0,4,9,,37,10.0,136
"Taylor, Samad",5,2,0,0,0,0,,2,1.0,136
"Raley, Luke",404,98,19,2,22,27,,187,54.0,136
"Haggerty, Sam",15,1,0,0,0,1,,1,0.0,136
"Bailey, Patrick",401,94,16,1,8,39,,136,41.0,137
"Lee, Jung Hoo",145,38,4,0,2,10,,48,15.0,137
"Yastrzemski, Mike",428,99,16,9,18,38,,187,55.0,137
"Luciano, Marco",76,16,5,1,0,5,,23,6.0,137
"Ramos, Heliot",475,128,23,3,22,37,,223,72.0,137
"Villar, David",35,9,4,0,1,1,,16,4.0,137
"McCray, Grant",124,25,3,2,5,6,,47,11.0,137
"Encarnacion, Jerar",113,28,5,0,5,5,,48,13.0,137
"Sabol, Blake",32,10,2,0,0,5,,12,5.0,137
"Canha, Mark",393,95,20,0,7,51,,136,45.0,137
"Murphy, Tom",34,4,1,0,1,4,,8,2.0,137
"Fitzgerald, Tyler",314,88,19,2,15,22,,156,51.0,137
"Conforto, Michael",438,104,27,3,20,42,,197,60.0,137
"Matos, Luis",150,32,5,0,5,5,,52,12.0,137
"Casali, Curt",108,21,3,0,1,13,,27,8.0,137
"Chapman, Matt",575,142,39,2,27,64,,266,86.0,137
"Flores, Wilmer",214,44,12,0,4,20,,68,19.0,137
"Wisely, Brett",252,60,13,1,4,13,,87,24.0,137
"Wade Jr., LaMonte",331,86,16,0,8,62,,126,47.0,137
"Walton, Donovan",22,3,0,0,1,2,,6,1.0,137
"Schmitt, Casey",107,27,4,1,6,4,,51,14.0,137
"Arenado, Nolan",578,157,23,0,16,44,,228,74.0,138
"Baker, Luken",40,7,1,1,2,7,,16,5.0,138
"Carpenter, Matt",137,32,7,0,4,15,,51,16.0,138
"Fermín, José",71,11,1,1,0,7,,14,3.0,138
"Walker, Jordan",164,33,10,1,5,10,,60,15.0,138
"Scott II, Victor",145,26,9,0,2,6,,41,9.0,138
"Contreras, Willson",301,79,17,0,15,45,,141,51.0,138
"Winn, Masyn",587,157,32,5,15,41,,244,77.0,138
"Goldschmidt, Paul",599,147,33,1,22,47,,248,74.0,138
"Siani, Michael",298,68,7,2,2,21,,85,24.0,138
"Nootbaar, Lars",348,85,18,3,12,52,,145,50.0,138
"Burleson, Alec",547,147,20,0,21,35,,230,72.0,138
"Donovan, Brendan",587,163,34,3,14,47,,245,81.0,138
"Saggese, Thomas",49,10,2,0,1,2,,15,4.0,138
"Gorman, Nolan",365,74,15,0,19,34,,146,40.0,138
"Pagés, Pedro",202,48,3,2,7,13,,76,22.0,138
"Herrera, Iván",229,69,12,1,5,25,,98,36.0,138
"Driscoll, Logan",35,6,0,0,1,1,,9,2.0,139
"Walls, Taylor",218,40,5,3,1,31,,54,15.0,139
"Lowe, Brandon",385,94,19,3,21,33,,182,55.0,139
"Díaz, Yandy",563,158,31,1,14,50,,233,79.0,139
"Palacios, Richie",264,59,8,1,5,45,,84,28.0,139
"Caballero, José",441,100,24,1,9,27,,153,42.0,139
"Shenton, Austin",42,9,5,0,1,8,,17,6.0,139
"Lowe, Josh",353,85,19,2,10,32,,138,42.0,139
"Caminero, Junior",165,41,9,1,6,11,,70,21.0,139
"DeLuca, Jonny",332,72,12,4,6,24,,110,30.0,139
"Morel, Christopher",535,105,11,3,21,61,,185,52.0,139
"Rortvedt, Ben",290,66,13,0,3,34,,88,27.0,139
"Pinto, René",42,9,3,0,2,4,,18,5.0,139
"Aranda, Jonathan",128,30,7,0,6,12,,55,16.0,139
"Carlson, Dylan",235,49,7,0,3,22,,65,18.0,139
"Mead, Curtis",122,29,3,0,1,6,,35,10.0,139
"Misner, Kameron",15,1,0,0,0,0,,1,0.0,139
"Siri, Jose",402,75,16,1,18,31,,147,36.0,139
"Fabian, Sandro",5,0,0,0,0,0,,0,0.0,140
"Ornelas, Jonathan",37,8,2,0,0,2,,10,3.0,140
"Foscue, Justin",42,2,1,0,0,2,,3,0.0,140
"Semien, Marcus",650,154,27,2,23,64,,254,78.0,140
"Harris, Dustin",6,2,1,0,1,1,,6,3.0,140
"Kelly, Carson",281,67,9,1,9,25,,105,32.0,140
"Lowe, Nathaniel",486,129,16,1,16,71,,195,70.0,140
"Duffy, Matt",7,2,0,0,0,2,,2,1.0,140
"Smith, Josh",523,135,30,1,13,46,,206,66.0,140
"Langford, Wyatt",499,126,25,4,16,51,,207,67.0,140
"Seager, Corey",475,132,21,0,30,53,,243,85.0,140
"Huff, Sam",3,0,0,0,0,1,,0,0.0,140
"Jankowski, Travis",190,38,5,0,1,12,,46,11.0,140
"García, Adolis",580,130,27,0,25,45,,232,65.0,140
"Jung, Josh",178,47,5,1,7,8,,75,22.0,140
"Duran, Ezequiel",268,66,11,0,3,14,,86,24.0,140
"Heim, Jonah",459,101,12,1,13,26,,154,40.0,140
"Carter, Evan",144,27,6,2,5,15,,52,14.0,140
"Taveras, Leody",480,110,17,3,12,42,,169,49.0,140
"Clement, Ernie",434,114,21,3,12,11,,177,50.0,141
"Heineman, Tyler",12,1,0,0,0,3,,1,0.0,141
"Schneider, Davis",397,76,19,1,13,47,,136,38.0,141
"Jiménez, Leo",179,41,11,0,4,12,,64,18.0,141
"Loperfido, Joey",243,52,13,4,4,13,,85,22.0,141
