Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team,Season
Marcus Semien,28.8,77,88,7,1,TEXAS,2022
Corey Seager,26.2,475,24,1,0,TEXAS,2022
Jonah Heim,26.0,500,20,3,0,TEXAS,2022
Leody Taveras,29.3,33,95,6,1,TEXAS,2022
Adolis García,27.9,209,67,9,3,TEXAS,2022
Josh Smith,28.2,158,75,9,3,TEXAS,2022
Josh Jung,27.0,359,43,4,1,TEXAS,2022
Ezequiel Duran,29.1,54,92,4,0,TEXAS,2022
George Springer,28.3,153,76,11,0,TORONTO,2022
Vladimir Guerrero Jr.,26.7,410,35,5,2,TORONTO,2022
Bo Bichette,27.5,292,54,4,3,TORONTO,2022
Alejandro Kirk,24.2,613,2,0,0,TORONTO,2022
Bryce Harper,27.6,269,57,9,0,PHILADELPHIA,2022
Nick Castellanos,27.7,267,58,3,0,PHILADELPHIA,2022
J.T. Realmuto,28.7,89,86,5,2,PHILADELPHIA,2022
Edmundo Sosa,29.4,27,96,0,0,PHILADELPHIA,2022
Kyle Schwarber,26.4,443,30,9,2,PHILADELPHIA,2022
Alec Bohm,27.0,356,43,2,0,PHILADELPHIA,2022
Brandon Marsh,28.8,73,89,5,1,PHILADELPHIA,2022
Bryson Stott,29.0,56,91,14,3,PHILADELPHIA,2022
DJ LeMahieu,26.4,448,29,0,0,NY-YANKEES,2022
Giancarlo Stanton,24.5,599,5,0,0,NY-YANKEES,2022
Aaron Judge,27.3,321,49,6,3,NY-YANKEES,2022
Oswaldo Cabrera,27.6,278,56,0,1,NY-YANKEES,2022
Oswald Peraza,28.9,63,90,1,0,NY-YANKEES,2022
Mike Trout,29.5,27,96,2,0,LA-ANGELS,2023
Taylor Ward,28.0,213,65,2,1,LA-ANGELS,2023
Luis Rengifo,27.4,302,51,2,6,LA-ANGELS,2023
Jo Adell,29.0,63,90,3,0,LA-ANGELS,2023
Kyren Paris,29.2,44,93,7,1,LA-ANGELS,2023
Logan O'Hoppe,27.9,226,63,1,1,LA-ANGELS,2023
Zach Neto,27.7,253,59,17,7,LA-ANGELS,2023
Nolan Schanuel,26.8,393,36,4,1,LA-ANGELS,2023
Ketel Marte,27.7,258,58,2,1,ARIZONA,2023
Jose Herrera,25.4,554,10,0,0,ARIZONA,2023
Pavin Smith,26.2,484,21,2,2,ARIZONA,2023
Jake McCarthy,30.0,12,98,3,0,ARIZONA,2023
Lourdes Gurriel Jr.,27.1,360,41,7,2,ARIZONA,2023
Gabriel Moreno,27.2,338,45,1,1,ARIZONA,2023
Geraldo Perdomo,27.2,330,46,13,3,ARIZONA,2023
Alek Thomas,28.8,83,87,5,2,ARIZONA,2023
Corbin Carroll,30.1,8,99,11,4,ARIZONA,2023
Jordan Lawlar,30.0,10,99,0,0,ARIZONA,2023
Marcell Ozuna,26.4,440,28,0,0,ATLANTA,2023
Eddie Rosario,28.0,214,65,0,0,ATLANTA,2023
Orlando Arcia,25.9,515,16,0,0,ATLANTA,2023
Matt Olson,26.2,473,23,0,0,ATLANTA,2023
Ozzie Albies,27.6,279,55,7,1,ATLANTA,2023
