Name,Season,TB,xTB,BB,xBB,AB,xAB,H,xH,SB,xSB,CS,xCS,MB,xMB
Jake Bauers,2019.0,138.0,137.4743061205847,45.0,45.86,372.0,387.54,84.0,89.25615075106683,3.0,3.0,3.0,3.0,42.0,42.0
Joey Gallo,2019.0,144.0,146.07577434025632,52.0,48.37,241.0,254.49,61.0,56.7131786660981,4.0,4.0,2.0,2.0,55.0,50.0
Brandon Lowe,2019.0,152.0,138.12843954250638,25.0,24.65,296.0,296.26,80.0,67.12712921100065,5.0,5.0,0.0,0.0,51.0,41.0
,,,,,,,,,,,,,,,
Will Smith,2019.0,97.0,78.38870607155489,18.0,19.69,170.0,176.57,43.0,43.289328284045105,2.0,2.0,0.0,0.0,32.0,26.0
Aaron Hicks,2019.0,98.0,95.21296085025918,31.0,31.02,221.0,221.24,52.0,51.38393369726141,1.0,1.0,2.0,2.0,31.0,30.0
Mark Canha,2019.0,212.0,188.16274211718678,67.0,64.11,410.0,429.37,112.0,112.7345090823453,3.0,3.0,2.0,2.0,79.0,67.0
Carlos Correa,2019.0,159.0,136.12716759006148,35.0,33.06,280.0,287.04,78.0,69.36301984182847,1.0,1.0,0.0,0.0,57.0,44.0
Kolten Wong,2019.0,202.0,168.97156107352663,47.0,44.83,478.0,469.71,136.0,109.77416365233454,24.0,24.0,4.0,4.0,74.0,54.0
Eduardo Escobar,2019.0,325.0,254.4027979289892,50.0,48.31,636.0,616.19,171.0,152.5194895730835,5.0,5.0,1.0,1.0,105.0,77.0
Corey Dickerson,2019.0,147.0,116.68132389538474,16.0,14.79,260.0,267.03,79.0,69.91001996177013,1.0,1.0,0.0,0.0,51.0,35.0
Nick Williams,2019.0,26.0,37.1575380209012,4.0,4.86,106.0,105.09,16.0,18.584285308230697,0.0,0.0,0.0,0.0,5.0,8.0
Paul DeJong,2019.0,259.0,237.07847011948027,62.0,61.28,583.0,565.43,136.0,137.71909670896545,9.0,9.0,5.0,5.0,79.0,75.0
Jackie Bradley Jr.,2019.0,208.0,212.57330460164735,56.0,55.24,494.0,499.86,111.0,125.13745109818512,8.0,8.0,6.0,6.0,62.0,68.0
David Bote,2019.0,128.0,112.97441872533835,44.0,39.15,303.0,309.04,78.0,69.03100242026754,5.0,5.0,1.0,1.0,46.0,36.0
Yuli Gurriel,2019.0,305.0,238.77382771340768,37.0,36.41,564.0,548.75,168.0,143.2281162724306,5.0,5.0,3.0,3.0,103.0,73.0
Greg Garcia,2019.0,110.0,108.80339004653199,53.0,51.56,311.0,323.14,77.0,72.84786629380258,0.0,0.0,2.0,2.0,38.0,35.0
Lourdes Gurriel Jr.,2019.0,170.0,139.09360956833396,20.0,19.47,314.0,317.64,87.0,78.46711087954984,6.0,6.0,4.0,4.0,53.0,39.0
Jake Cave,2019.0,90.0,88.45258110988395,21.0,20.9,198.0,196.94,51.0,47.99308411791388,0.0,0.0,0.0,0.0,30.0,28.0
David Fletcher,2019.0,229.0,178.95057716471277,55.0,66.58,596.0,591.21,173.0,119.18097063938694,8.0,8.0,3.0,3.0,81.0,51.0
Dawel Lugo,2019.0,104.0,98.2695196698682,8.0,9.65,273.0,256.33,67.0,62.67523708041901,0.0,0.0,0.0,0.0,28.0,27.0
Robbie Grossman,2019.0,146.0,153.4003291569358,59.0,58.22,420.0,412.29,101.0,99.56277241870231,9.0,9.0,4.0,4.0,49.0,52.0
Mike Yastrzemski,2019.0,192.0,166.33123577830708,32.0,32.31,371.0,384.21,101.0,96.55565966251889,2.0,2.0,4.0,4.0,61.0,50.0
Francisco Lindor,2019.0,310.0,278.6876872970339,46.0,46.06,598.0,592.32,170.0,161.79314670029214,22.0,22.0,5.0,5.0,106.0,93.0
Michael Conforto,2019.0,271.0,251.54448819626376,84.0,76.35,549.0,558.79,141.0,142.89449175066434,7.0,7.0,2.0,2.0,97.0,87.0
Jean Segura,2019.0,242.0,225.718258992032,30.0,31.61,576.0,543.43,161.0,133.21323412515557,10.0,10.0,2.0,2.0,77.0,66.0
Ian Desmond,2019.0,212.0,193.126792007356,34.0,37.35,443.0,431.23,113.0,106.29283261516318,3.0,3.0,3.0,3.0,64.0,58.0
,,,,,,,,,,,,,,,
