Player,AB,H,2B,3B,HR,BB,,TB,Runs,Season
Jared Walsh,99,29,4,2,9,5,,64,21.0,2020
Mike Trout,199,56,9,2,17,35,,120,47.0,2020
Luis Rengifo,90,14,1,0,1,14,,18,5.0,2020
José Briceño,5,1,0,0,0,1,,1,0.0,2020
Jahmai Jones,7,3,0,0,0,0,,3,1.0,2020
Matt Thaiss,21,3,0,0,1,4,,6,2.0,2020
Elliot Soto,6,2,1,0,0,1,,3,1.0,2020
Albert Pujols,152,34,8,0,6,9,,60,16.0,2020
Max Stassi,90,25,2,0,7,11,,48,17.0,2020
Franklin Barreto,27,2,0,0,0,0,,2,0.0,2020
Anthony Bemboom,48,10,1,0,3,7,,20,6.0,2020
Taylor Ward,94,26,6,2,0,8,,36,12.0,2020
Jo Adell,124,20,4,0,3,7,,33,7.0,2020
Shohei Ohtani,153,29,6,0,7,22,,56,16.0,2020
Justin Upton,147,30,5,0,9,11,,62,16.0,2020
Anthony Rendon,189,54,11,1,9,38,,94,38.0,2020
David Fletcher,207,66,13,0,3,20,,88,33.0,2020
Wyatt Mathisen,27,6,0,0,2,5,,12,4.0,2020
Carson Kelly,122,27,5,0,5,6,,47,12.0,2020
Kole Calhoun,190,43,9,0,16,28,,100,33.0,2020
Tim Locastro,69,20,4,1,2,8,,32,12.0,2020
Nick Ahmed,199,53,10,1,5,18,,80,26.0,2020
Christian Walker,218,59,18,1,7,19,,100,33.0,2020
Kevin Cron,17,0,0,0,0,1,,0,0.0,2020
Andrew Young,26,5,2,0,1,5,,10,3.0,2020
Pavin Smith,37,10,0,1,1,5,,15,5.0,2020
Jon Jay,50,8,1,0,1,3,,12,2.0,2020
Josh VanMeter,70,9,3,0,2,7,,18,4.0,2020
Josh Rojas,61,11,0,0,0,7,,11,3.0,2020
Stephen Vogt,72,12,5,0,1,8,,20,5.0,2020
Daulton Varsho,101,19,5,2,3,12,,37,10.0,2020
David Peralta,203,61,10,1,5,13,,88,30.0,2020
Ketel Marte,181,52,14,1,2,7,,74,23.0,2020
Eduardo Escobar,203,43,7,3,4,15,,68,18.0,2020
Anthony Santander,153,40,13,1,11,10,,88,27.0,2020
Chris Davis,52,6,3,0,0,3,,9,1.0,2020
Andrew Velazquez,63,10,1,1,0,10,,13,4.0,2020
DJ Stewart,88,17,2,0,7,20,,40,14.0,2020
Bryan Holaday,31,5,1,0,0,2,,6,1.0,2020
Ramón Urías,25,9,2,0,1,2,,14,6.0,2020
Austin Hays,122,34,2,0,4,8,,48,16.0,2020
Renato Núñez,195,50,10,0,12,17,,96,30.0,2020
Cedric Mullins,140,38,4,3,3,8,,57,18.0,2020
Jose Iglesias,142,53,17,0,3,3,,79,31.0,2020
Pat Valaika,141,39,4,0,8,8,,67,21.0,2020
Hanser Alberto,219,62,15,0,3,5,,86,26.0,2020
Chance Sisco,98,21,4,0,4,17,,37,12.0,2020
Ryan Mountcastle,126,42,5,0,5,11,,62,24.0,2020
Pedro Severino,160,40,5,1,5,16,,62,20.0,2020
Rio Ruiz,185,41,11,0,9,17,,79,23.0,2020
Deivy Grullón,3,1,0,0,0,1,,1,0.0,2020
Kevin Plawecki,82,28,5,1,1,5,,38,14.0,2020
J.D. Martinez,211,45,16,0,7,22,,82,24.0,2020
Christian Arroyo,50,12,1,0,3,4,,22,7.0,2020
Jackie Bradley Jr.,191,54,11,0,7,23,,86,31.0,2020
Michael Chavis,146,31,5,2,5,8,,55,14.0,2020
Jonathan Araúz,72,18,2,0,1,8,,23,7.0,2020
Christian Vázquez,173,49,9,0,7,16,,79,27.0,2020
Andrew Benintendi,39,4,1,0,0,11,,5,2.0,2020
César Puello,8,3,0,0,0,2,,3,2.0,2020
Yairo Muñoz,45,15,5,0,1,0,,23,8.0,2020
Tzu-Wei Lin,52,8,1,0,0,2,,9,2.0,2020
Bobby Dalbec,80,21,3,0,8,10,,48,17.0,2020
José Peraza,111,25,8,1,1,5,,38,10.0,2020
Alex Verdugo,201,62,16,0,6,17,,96,35.0,2020
Xander Bogaerts,203,61,8,0,11,21,,102,37.0,2020
Rafael Devers,232,61,16,1,11,13,,112,34.0,2020
Ian Happ,198,51,11,1,12,30,,100,36.0,2020
Albert Almora Jr.,30,5,1,0,0,3,,6,1.0,2020
José A. Martínez,88,16,4,0,2,10,,26,7.0,2020
Victor Caratini,116,28,7,0,1,12,,38,12.0,2020
Billy Hamilton,32,4,0,0,1,2,,7,1.0,2020
Josh Phegley,16,1,0,0,1,1,,4,0.0,2020
Ildemaro Vargas,51,10,1,1,1,2,,16,4.0,2020
Cameron Maybin,93,23,8,1,1,7,,36,11.0,2020
Jason Kipnis,114,27,8,1,3,18,,46,16.0,2020
Nico Hoerner,108,24,4,0,0,12,,28,8.0,2020
David Bote,125,25,3,1,7,17,,51,15.0,2020
Kris Bryant,131,27,5,1,4,12,,46,13.0,2020
Jason Heyward,147,39,6,2,6,30,,67,26.0,2020
Kyle Schwarber,191,36,6,0,11,30,,75,22.0,2020
Willson Contreras,189,46,10,0,7,20,,77,24.0,2020
Javier Báez,222,45,9,1,8,7,,80,18.0,2020
Anthony Rizzo,203,45,6,0,11,28,,84,27.0,2020
Mark Payton,18,3,1,0,0,2,,4,1.0,2020
Joey Votto,186,42,8,0,11,37,,83,29.0,2020
Nick Castellanos,218,49,11,2,14,19,,106,30.0,2020
Brian Goodwin,144,31,9,1,6,17,,60,18.0,2020
Tucker Barnhart,98,20,3,0,5,12,,38,11.0,2020
Tyler Stephenson,17,5,0,0,2,2,,11,4.0,2020
Jose Barrero,67,13,0,0,0,1,,13,3.0,2020
Mike Moustakas,139,32,9,0,8,18,,65,21.0,2020
Kyle Farmer,64,17,3,0,0,5,,20,6.0,2020
Travis Jankowski,15,1,0,0,0,2,,1,0.0,2020
Aristides Aquino,47,8,1,0,2,6,,15,4.0,2020
Matt Davidson,43,7,1,0,3,4,,17,4.0,2020
Curt Casali,76,17,3,0,6,14,,38,13.0,2020
Nick Senzel,70,13,6,0,2,6,,25,6.0,2020
Jesse Winker,149,38,7,0,12,28,,81,30.0,2020
Freddy Galvis,141,31,5,0,7,13,,57,16.0,2020
Shogo Akiyama,155,38,6,1,0,25,,46,16.0,2020
Eugenio Suárez,198,40,8,0,15,30,,93,29.0,2020
Austin Hedges,69,10,1,0,3,6,,20,4.0,2020
Delino DeShields,107,27,3,2,0,9,,34,11.0,2020
Mike Freeman,38,9,3,0,0,3,,12,4.0,2020
Carlos Santana,206,41,7,0,8,47,,72,25.0,2020
Daniel Johnson,12,1,0,0,0,1,,1,0.0,2020
César Hernández,233,66,20,0,3,24,,95,33.0,2020
Yu Chang,11,2,0,0,0,2,,2,1.0,2020
Beau Taylor,21,1,0,0,0,2,,1,0.0,2020
Bradley Zimmer,37,6,0,0,1,7,,9,3.0,2020
Sandy León,66,9,1,0,2,14,,16,5.0,2020
Roberto Pérez,97,16,2,0,1,11,,21,5.0,2020
Jordan Luplow,78,15,5,1,2,12,,28,8.0,2020
Óscar Mercado,86,11,1,0,1,5,,15,3.0,2020
Josh Naylor,97,24,3,1,1,5,,32,9.0,2020
Franmil Reyes,211,58,10,0,9,24,,95,33.0,2020
José Ramírez,219,64,16,1,17,31,,133,51.0,2020
Francisco Lindor,236,61,13,0,8,24,,98,32.0,2020
Drew Butera,39,6,2,0,0,2,,8,2.0,2020
Garrett Hampson,167,39,4,3,5,13,,64,18.0,2020
Elias Díaz,68,16,2,0,2,5,,24,7.0,2020
David Dahl,93,17,2,2,0,4,,23,5.0,2020
Chris Owings,41,11,1,0,2,3,,18,6.0,2020
Sam Hilliard,105,22,2,2,6,9,,46,13.0,2020
Nolan Arenado,182,46,9,0,8,15,,79,24.0,2020
Trevor Story,235,68,13,4,11,24,,122,43.0,2020
Brendan Rodgers,21,2,1,0,0,0,,3,0.0,2020
Joshua Fuentes,98,30,7,0,2,2,,43,14.0,2020
Tony Wolters,100,23,4,0,0,6,,27,7.0,2020
Matt Kemp,117,28,3,0,6,15,,49,16.0,2020
Daniel Murphy,123,29,3,0,3,7,,41,11.0,2020
Ryan McMahon,172,37,6,1,9,18,,72,21.0,2020
Raimel Tapia,184,59,8,2,1,14,,74,27.0,2020
Kevin Pillar,208,60,12,3,6,13,,96,32.0,2020
Charlie Blackmon,221,67,12,1,6,19,,99,35.0,2020
Austin Romine,130,31,5,0,2,4,,42,11.0,2020
Eric Haase,17,3,0,0,0,1,,3,1.0,2020
Niko Goodrum,158,29,7,1,5,18,,53,14.0,2020
C.J. Cron,42,8,3,0,4,9,,23,8.0,2020
Derek Hill,11,1,0,0,0,1,,1,0.0,2020
Isaac Paredes,100,22,4,0,1,8,,29,8.0,2020
Travis Demeritte,29,5,1,0,0,3,,6,2.0,2020
Daz Cameron,57,11,2,1,0,2,,15,3.0,2020
Jonathan Schoop,162,45,4,2,8,8,,77,24.0,2020
Brandon Dixon,13,1,1,0,0,1,,2,0.0,2020
Willi Castro,129,45,4,2,6,7,,71,27.0,2020
Victor Reyes,202,56,7,2,4,9,,79,24.0,2020
Sergio Alcántara,21,3,0,1,1,2,,8,2.0,2020
JaCoby Jones,97,26,9,0,5,7,,50,16.0,2020
Harold Castro,49,17,4,0,0,5,,21,9.0,2020
Jorge Bonifacio,86,19,3,0,2,5,,28,7.0,2020
Christin Stewart,90,15,3,0,3,5,,27,6.0,2020
Jeimer Candelario,185,55,11,3,7,20,,93,34.0,2020
Miguel Cabrera,204,51,4,0,10,24,,85,28.0,2020
Kyle Tucker,209,56,12,6,9,18,,107,35.0,2020
Jose Altuve,192,42,9,0,5,17,,66,19.0,2020
Yordan Alvarez,8,2,0,0,1,0,,5,1.0,2020
Carlos Correa,201,53,9,0,5,16,,77,24.0,2020
Dustin Garneau,38,6,0,1,1,6,,11,3.0,2020
Myles Straw,82,17,4,0,0,4,,21,5.0,2020
Abraham Toro,87,13,2,0,3,3,,24,4.0,2020
Taylor Jones,21,4,1,0,1,1,,8,2.0,2020
Alex Bregman,153,37,12,1,6,24,,69,24.0,2020
Garrett Stubbs,8,1,0,0,0,0,,1,0.0,2020
Jack Mayfield,42,8,1,0,0,2,,9,2.0,2020
Aledmys Díaz,58,14,5,0,3,1,,28,7.0,2020
Martín Maldonado,135,29,4,0,6,27,,51,18.0,2020
Michael Brantley,170,51,15,0,5,17,,81,29.0,2020
Josh Reddick,188,46,11,1,4,20,,71,23.0,2020
George Springer,189,50,6,2,14,24,,102,35.0,2020
Yuli Gurriel,211,49,12,1,6,12,,81,22.0,2020
Nicky Lopez,169,34,8,0,1,18,,45,13.0,2020
Ryan McBroom,81,20,3,0,6,4,,41,12.0,2020
Hunter Dozier,158,36,4,2,6,27,,62,21.0,2020
Jorge Soler,149,34,8,0,8,19,,66,21.0,2020
Kelvin Gutiérrez,9,1,0,0,0,3,,1,0.0,2020
Whit Merrifield,248,70,12,0,9,12,,109,34.0,2020
Franchy Cordero,38,8,3,0,2,4,,17,5.0,2020
Cam Gallagher,53,15,5,0,1,6,,23,8.0,2020
Nick Heath,13,2,1,0,0,2,,3,1.0,2020
Meibrys Viloria,21,4,1,0,0,2,,5,1.0,2020
Bubba Starling,59,10,1,0,1,4,,14,3.0,2020
Edward Olivares,96,23,2,1,3,4,,36,10.0,2020
Ryan O'Hearn,113,22,6,0,2,18,,34,10.0,2020
Salvador Perez,150,50,12,0,11,3,,95,33.0,2020
Adalberto Mondesi,219,56,11,3,6,11,,91,27.0,2020
Maikel Franco,223,62,16,0,8,16,,102,33.0,2020
Corey Seager,212,65,12,1,15,17,,124,44.0,2020
Justin Turner,150,46,9,1,4,18,,69,26.0,2020
Edwin Ríos,76,19,6,0,8,4,,49,14.0,2020
Enrique Hernández,139,32,8,1,5,6,,57,15.0,2020
Cody Bellinger,213,51,10,0,12,30,,97,32.0,2020
Keibert Ruiz,8,2,0,0,1,0,,5,1.0,2020
Zach McKinstry,7,2,1,0,0,0,,3,1.0,2020
Matt Beaty,50,11,1,0,2,2,,18,4.0,2020
Gavin Lux,63,11,2,0,3,6,,22,5.0,2020
Austin Barnes,86,21,3,0,1,13,,27,9.0,2020
Joc Pederson,121,23,4,0,7,11,,48,12.0,2020
Will Smith,114,33,9,0,8,20,,66,26.0,2020
Chris Taylor,185,50,10,2,8,26,,88,32.0,2020
Max Muncy,203,39,4,0,12,39,,79,25.0,2020
AJ Pollock,196,54,9,0,16,12,,111,35.0,2020
Mookie Betts,219,64,9,1,16,24,,123,45.0,2020
Brock Holt,95,20,6,0,0,9,,26,7.0,2020
Trea Turner,233,78,15,4,12,22,,137,54.0,2020
Carter Kieboom,99,20,1,0,0,17,,21,7.0,2020
Howie Kendrick,91,25,4,0,2,7,,35,11.0,2020
Andrew Stevenson,41,15,7,1,2,5,,30,13.0,2020
Yadiel Hernandez,26,5,3,0,1,1,,11,2.0,2020
Eric Thames,123,25,5,0,3,14,,39,11.0,2020
Yan Gomes,109,31,6,1,4,6,,51,16.0,2020
Jake Noll,17,6,1,0,0,0,,7,2.0,2020
Starlin Castro,60,16,3,1,2,3,,27,8.0,2020
Michael A. Taylor,92,18,6,0,5,6,,39,10.0,2020
Josh Harrison,79,22,2,0,3,6,,33,11.0,2020
Kurt Suzuki,111,30,8,0,2,11,,44,15.0,2020
Luis García Jr.,134,37,6,0,2,5,,49,15.0,2020
Victor Robles,168,37,5,1,3,9,,53,14.0,2020
Juan Soto,154,54,14,0,13,41,,107,52.0,2020
Adam Eaton,159,36,11,1,4,12,,61,17.0,2020
Asdrúbal Cabrera,190,46,9,3,8,19,,85,26.0,2020
Luis Guillorme,57,19,6,0,0,10,,25,11.0,2020
René Rivera,4,1,0,0,0,0,,1,0.0,2020
Ryan Cordell,8,1,0,0,0,0,,1,0.0,2020
Jake Marisnick,33,11,3,0,2,1,,20,7.0,2020
Guillermo Heredia,33,7,0,0,2,3,,13,4.0,2020
Eduardo Núñez,2,1,0,0,0,0,,1,0.0,2020
Ali Sánchez,9,1,0,0,0,1,,1,0.0,2020
Tomás Nido,24,7,1,0,2,2,,14,5.0,2020
Robinson Chirinos,74,12,3,0,1,6,,18,4.0,2020
Andrés Giménez,118,31,3,2,3,7,,47,14.0,2020
Amed Rosario,143,36,3,1,4,4,,53,14.0,2020
Wilson Ramos,142,34,6,0,5,10,,55,16.0,2020
Todd Frazier,157,37,9,1,4,11,,60,17.0,2020
Dominic Smith,177,56,21,1,10,14,,109,40.0,2020
J.D. Davis,190,47,9,0,6,31,,74,26.0,2020
Brandon Nimmo,186,52,8,3,8,33,,90,35.0,2020
Michael Conforto,202,65,12,0,9,24,,104,41.0,2020
Robinson Canó,171,54,9,0,10,9,,93,33.0,2020
Pete Alonso,208,48,6,0,16,24,,102,32.0,2020
Jeff McNeil,183,57,14,0,4,20,,83,31.0,2020
Austin Allen,31,6,1,0,1,1,,10,2.0,2020
Jake Lamb,88,17,5,0,3,8,,31,8.0,2020
Chad Pinder,56,13,3,0,2,5,,22,6.0,2020
Tommy La Stella,196,55,14,2,5,27,,88,32.0,2020
Tony Kemp,93,23,5,0,0,15,,28,10.0,2020
Jonah Heim,38,8,0,0,0,3,,8,2.0,2020
Sean Murphy,116,27,5,0,7,24,,53,19.0,2020
Matt Olson,210,41,4,1,14,34,,89,27.0,2020
Seth Brown,5,0,0,0,0,0,,0,0.0,2020
Ramón Laureano,183,39,8,1,6,24,,67,20.0,2020
Stephen Piscotty,159,36,6,0,5,9,,57,15.0,2020
Vimael Machín,63,13,2,0,0,8,,15,4.0,2020
Nate Orf,7,0,0,0,0,0,,0,0.0,2020
Khris Davis,85,17,5,0,2,10,,28,8.0,2020
Matt Chapman,142,33,9,2,10,8,,76,21.0,2020
Robbie Grossman,166,40,12,2,8,21,,80,26.0,2020
Mark Canha,191,47,12,2,5,37,,78,29.0,2020
Marcus Semien,211,47,9,1,7,25,,79,24.0,2020
Erik González,181,41,13,1,3,8,,65,17.0,2020
Bryan Reynolds,185,35,6,2,7,21,,66,18.0,2020
Will Craig,4,0,0,0,0,0,,0,0.0,2020
Colin Moran,178,44,10,0,10,19,,84,27.0,2020
Phillip Evans,39,14,2,0,1,5,,19,8.0,2020
Jacob Stallings,125,31,7,0,3,15,,47,15.0,2020
Anthony Alford,28,6,0,1,2,1,,14,3.0,2020
Jason Martin,9,0,0,0,0,2,,0,0.0,2020
Jared Oliva,16,3,0,0,0,0,,3,1.0,2020
John Ryan Murphy,58,10,2,0,0,4,,12,3.0,2020
José Osuna,78,16,3,0,4,4,,31,8.0,2020
Ke'Bryan Hayes,85,32,7,2,5,9,,58,25.0,2020
Cole Tucker,109,24,3,0,1,5,,30,8.0,2020
Gregory Polanco,157,24,6,0,7,13,,51,11.0,2020
Kevin Newman,156,35,5,0,1,12,,43,12.0,2020
Josh Bell,195,44,3,0,8,22,,71,22.0,2020
Adam Frazier,209,48,7,0,7,17,,76,22.0,2020
Greg Garcia,60,12,3,0,0,7,,15,4.0,2020
Greg Allen,26,4,1,0,1,3,,8,2.0,2020
Jorge Oña,12,3,1,0,1,2,,7,2.0,2020
Jurickson Profar,180,50,6,0,7,15,,77,26.0,2020
Jason Castro,80,15,9,0,2,12,,30,9.0,2020
Jorge Mateo,26,4,3,0,0,1,,7,1.0,2020
Tommy Pham,109,23,2,0,3,15,,34,10.0,2020
Eric Hosmer,143,41,6,0,9,9,,74,24.0,2020
Manny Machado,224,68,12,1,16,26,,130,49.0,2020
Luis Campusano,3,1,0,0,1,0,,4,1.0,2020
Abraham Almonte,11,1,0,0,0,2,,1,0.0,2020
Francisco Mejía,39,3,1,0,1,1,,7,1.0,2020
Mitch Moreland,136,36,9,0,10,15,,75,25.0,2020
Austin Nola,161,44,9,1,7,18,,76,26.0,2020
Wil Myers,198,57,14,2,15,18,,120,42.0,2020
Jake Cronenworth,172,49,15,3,4,18,,82,29.0,2020
Trent Grisham,215,54,8,3,10,31,,98,34.0,2020
Fernando Tatis Jr.,224,62,11,2,17,27,,128,45.0,2020
Braden Bishop,30,5,2,0,0,2,,7,2.0,2020
Shed Long Jr.,117,20,5,0,3,11,,34,8.0,2020
Evan White,182,32,7,0,8,18,,63,16.0,2020
Joe Hudson,17,3,0,0,0,2,,3,1.0,2020
Dee Strange-Gordon,75,15,1,0,0,5,,16,4.0,2020
Ty France,141,43,9,1,4,11,,66,23.0,2020
J.P. Crawford,204,52,7,2,2,23,,69,23.0,2020
Donovan Walton,13,2,1,0,0,1,,3,1.0,2020
Jake Fraley,26,4,1,1,0,2,,7,2.0,2020
Joseph Odom,39,5,0,0,0,4,,5,1.0,2020
Sam Haggerty,50,13,4,0,1,4,,20,6.0,2020
Phillip Ervin,74,11,3,0,0,14,,14,4.0,2020
Luis Torrens,70,18,5,0,1,7,,26,8.0,2020
José Marmolejos,107,22,4,0,6,7,,44,11.0,2020
Dylan Moore,137,35,9,0,8,14,,68,22.0,2020
Tim Lopes,143,34,12,0,2,6,,52,14.0,2020
Kyle Lewis,206,54,3,0,11,34,,90,33.0,2020
Kyle Seager,203,49,12,0,9,32,,88,30.0,2020
Joey Bart,103,24,5,2,0,3,,33,8.0,2020
Alex Dickerson,151,45,10,1,10,16,,87,32.0,2020
Steven Duggar,34,6,2,0,0,1,,8,2.0,2020
Brandon Belt,149,46,13,1,9,30,,88,37.0,2020
Darin Ruf,87,24,6,0,5,13,,45,17.0,2020
Jaylin Davis,12,2,0,0,1,0,,5,1.0,2020
Austin Slater,85,24,2,1,5,16,,43,17.0,2020
Donovan Solano,190,62,15,1,3,10,,88,32.0,2020
Chadwick Tromp,61,13,1,0,4,1,,26,6.0,2020
Wilmer Flores,198,53,11,1,12,13,,102,32.0,2020
Evan Longoria,193,49,10,1,7,11,,82,24.0,2020
Joey Rickard,5,0,0,0,0,1,,0,0.0,2020
Luis Alexander Basabe,14,2,0,0,0,4,,2,1.0,2020
Daniel Robertson,21,7,0,0,0,3,,7,3.0,2020
Tyler Heineman,42,8,1,0,0,4,,9,2.0,2020
Mauricio Dubón,157,43,4,1,4,15,,61,21.0,2020
Brandon Crawford,172,44,12,0,8,15,,80,25.0,2020
Mike Yastrzemski,192,57,14,4,10,30,,109,43.0,2020
Matt Wieters,35,7,1,0,0,3,,8,2.0,2020
Max Schrock,17,3,0,0,1,0,,6,1.0,2020
Andrew Knizner,16,4,1,0,0,0,,5,1.0,2020
Tyler O'Neill,139,24,5,0,7,15,,50,13.0,2020
Brad Miller,142,33,8,1,7,25,,64,22.0,2020
Austin Dean,4,1,1,0,0,3,,2,1.0,2020
Matt Carpenter,140,26,6,0,4,23,,44,13.0,2020
Dylan Carlson,110,22,7,1,3,8,,40,10.0,2020
Dexter Fowler,90,21,2,0,4,10,,35,11.0,2020
Paul DeJong,152,38,6,0,3,17,,53,17.0,2020
Rangel Ravelo,35,6,1,0,1,4,,10,3.0,2020
Kolten Wong,181,48,4,2,1,20,,59,20.0,2020
John Nogowski,4,1,0,0,0,0,,1,0.0,2020
Justin Williams,5,1,0,0,0,1,,1,0.0,2020
Lane Thomas,36,4,2,0,1,4,,9,2.0,2020
Harrison Bader,106,24,7,2,4,13,,47,15.0,2020
Yadier Molina,145,38,2,0,4,6,,52,15.0,2020
Paul Goldschmidt,191,58,13,0,6,37,,89,37.0,2020
Tommy Edman,204,51,7,1,5,16,,75,23.0,2020
Austin Meadows,132,27,8,1,4,17,,49,14.0,2020
Brian O'Grady,5,2,1,0,0,0,,3,1.0,2020
Manuel Margot,145,39,9,0,1,13,,51,17.0,2020
Michael Pérez,84,14,3,0,1,7,,20,5.0,2020
Randy Arozarena,64,18,2,0,7,6,,41,14.0,2020
Nathaniel Lowe,67,15,2,0,4,9,,29,9.0,2020
Ji Man Choi,122,28,13,0,3,20,,50,17.0,2020
Mike Brosseau,86,26,5,1,5,8,,48,17.0,2020
Mike Zunino,75,11,4,0,4,6,,27,6.0,2020
Kevan Smith,31,8,3,0,1,5,,14,5.0,2020
Hunter Renfroe,122,19,5,0,8,14,,48,12.0,2020
Kevin Kiermaier,138,30,5,3,3,20,,50,16.0,2020
Yandy Díaz,114,35,3,0,2,23,,44,19.0,2020
Yoshi Tsutsugo,157,31,5,1,8,26,,62,19.0,2020
Willy Adames,185,48,15,1,8,20,,89,30.0,2020
Joey Wendle,168,48,9,2,4,10,,73,24.0,2020
Brandon Lowe,193,52,9,2,14,25,,107,38.0,2020
Elvis Andrus,103,20,5,0,3,8,,34,9.0,2020
Nick Solak,209,56,10,0,2,18,,72,23.0,2020
Sam Huff,31,11,3,0,3,2,,23,9.0,2020
Shin-Soo Choo,110,26,3,0,5,13,,44,14.0,2020
Sherten Apostel,20,2,1,0,0,1,,3,0.0,2020
Rougned Odor,138,23,4,0,10,7,,57,12.0,2020
Scott Heineman,52,8,3,0,1,2,,14,3.0,2020
Leody Taveras,119,27,6,1,4,14,,47,14.0,2020
Yadiel Rivera,5,0,0,0,0,0,,0,0.0,2020
Jose Trevino,76,19,8,0,2,3,,33,9.0,2020
Adolis García,6,0,0,0,0,1,,0,0.0,2020
Andrew Romine,4,1,1,0,0,0,,2,0.0,2020
Danny Santana,55,8,4,0,1,7,,15,4.0,2020
Eli White,48,9,2,0,0,3,,11,3.0,2020
Jeff Mathis,62,10,1,1,3,5,,22,5.0,2020
Derek Dietrich,61,12,1,0,5,9,,28,8.0,2020
Anderson Tejeda,75,19,4,1,3,2,,34,9.0,2020
Willie Calhoun,100,19,2,1,1,5,,26,6.0,2020
Joey Gallo,193,35,8,0,10,29,,73,21.0,2020
Isiah Kiner-Falefa,211,59,4,3,3,14,,78,25.0,2020
Randal Grichuk,216,59,9,0,12,13,,104,33.0,2020
Cavan Biggio,220,55,16,0,8,41,,95,35.0,2020
Santiago Espinal,60,16,4,0,0,4,,20,6.0,2020
Joe Panik,120,27,6,0,1,20,,36,12.0,2020
Derek Fisher,31,7,2,1,1,7,,14,5.0,2020
Danny Jansen,120,22,3,0,6,21,,43,13.0,2020
Vladimir Guerrero Jr.,221,58,13,2,9,20,,102,33.0,2020
Jonathan Davis,27,7,2,0,1,3,,12,4.0,2020
Alejandro Kirk,24,9,2,0,1,1,,14,6.0,2020
Reese McGuire,41,3,0,0,1,0,,6,0.0,2020
Rowdy Tellez,113,32,5,0,8,11,,61,21.0,2020
Bo Bichette,123,37,9,1,5,5,,63,21.0,2020
Travis Shaw,163,39,10,0,6,16,,67,21.0,2020
Teoscar Hernández,190,55,7,0,16,14,,110,37.0,2020
Jonathan Villar,185,43,5,0,2,19,,54,16.0,2020
Lourdes Gurriel Jr.,208,64,14,0,11,14,,111,39.0,2020
Miguel Sanó,186,38,12,0,13,18,,89,24.0,2020
Jorge Polanco,209,54,8,0,4,13,,74,22.0,2020
Travis Blankenhorn,3,1,1,0,0,0,,2,1.0,2020
Byron Buxton,130,33,3,0,13,2,,75,20.0,2020
Max Kepler,171,39,9,0,9,22,,75,24.0,2020
Nelson Cruz,185,56,6,0,16,25,,110,42.0,2020
Ryan Jeffers,55,15,0,0,3,5,,24,8.0,2020
Brent Rooker,19,6,2,0,1,0,,11,3.0,2020
Willians Astudillo,16,4,1,0,1,0,,8,2.0,2020
Alex Avila,49,9,2,0,1,11,,14,5.0,2020
LaMonte Wade Jr.,39,9,3,0,0,4,,12,4.0,2020
Mitch Garver,72,12,1,0,2,7,,19,5.0,2020
Josh Donaldson,81,18,2,0,6,18,,38,14.0,2020
Ehire Adrianza,89,17,7,0,0,11,,24,7.0,2020
Jake Cave,113,25,3,2,4,5,,44,11.0,2020
Luis Arraez,112,36,9,0,0,8,,45,16.0,2020
Marwin Gonzalez,175,37,4,0,5,17,,56,16.0,2020
Eddie Rosario,210,54,7,0,13,19,,100,32.0,2020
Alec Bohm,160,54,11,0,4,16,,77,31.0,2020
Didi Gregorius,215,61,10,2,10,15,,105,35.0,2020
Jean Segura,192,51,5,2,7,23,,81,28.0,2020
Rhys Hoskins,151,37,9,0,10,29,,76,28.0,2020
Andrew McCutchen,217,55,9,0,10,22,,94,30.0,2020
Rafael Marchán,8,4,0,0,1,1,,7,4.0,2020
Kyle Garlick,22,3,1,0,0,0,,4,1.0,2020
J.T. Realmuto,173,46,6,0,11,16,,85,28.0,2020
Adam Haseley,79,22,5,0,0,7,,27,9.0,2020
Phil Gosselin,92,23,5,0,3,10,,37,12.0,2020
Mickey Moniak,14,3,0,0,0,4,,3,1.0,2020
Andrew Knapp,72,20,4,1,2,15,,32,13.0,2020
Roman Quinn,108,23,3,1,2,5,,34,8.0,2020
Jay Bruce,96,19,4,2,6,7,,45,11.0,2020
Scott Kingery,113,18,5,0,3,9,,32,7.0,2020
Bryce Harper,190,51,9,2,13,49,,103,43.0,2020
Adam Duvall,190,45,8,0,16,15,,101,30.0,2020
Adeiny Hechavarría,59,15,3,0,0,4,,18,5.0,2020
Austin Riley,188,45,7,1,8,16,,78,23.0,2020
Travis d'Arnaud,165,53,8,0,9,16,,88,34.0,2020
Charlie Culberson,7,1,1,0,0,0,,2,0.0,2020
Johan Camargo,120,24,8,0,4,6,,44,10.0,2020
Cristian Pache,4,1,0,0,0,0,,1,0.0,2020
Alex Jackson,7,2,1,0,0,0,,3,1.0,2020
William Contreras,10,4,1,0,0,0,,5,2.0,2020
Tyler Flowers,69,15,6,0,1,8,,24,7.0,2020
Pablo Sandoval,84,18,1,0,1,8,,22,6.0,2020
Ender Inciarte,116,22,2,1,1,12,,29,8.0,2020
Ronald Acuña Jr.,160,40,11,0,14,38,,93,37.0,2020
Nick Markakis,130,33,15,0,1,10,,51,16.0,2020
Dansby Swanson,237,65,15,0,10,22,,110,37.0,2020
Marcell Ozuna,228,77,14,0,18,38,,145,63.0,2020
Freddie Freeman,214,73,23,1,13,45,,137,62.0,2020
José Abreu,240,76,15,0,19,18,,148,54.0,2020
Nick Madrigal,103,35,3,0,0,4,,38,14.0,2020
